Ratio,Intrepid,Random rank,Country Picker,Country (group),Number of Records,Category,Country,Locals Outnumbered By Tourists By,Number Of Locals,Number Of Tourists,Rank
1380.784539395,Intrepid,5,1,Europe,1,A lot!,Croatia,13.8078,4170600,57587000,1
565.744203441,Intrepid,7,2,Europe,1,A lot!,Iceland,5.6574,334250,1891000,2
2.310507772,Intrepid,7,1,Africa,1,The fewer the better.,Tanzania,0.0231,55572200,1284000,1
2.448982621,Intrepid,7,2,Asia Pacific,1,The fewer the better.,Papua New Guinea,0.0245,8084990,198000,2
2.765077566,Intrepid,3,3,Africa,1,The fewer the better.,Kenya,0.0277,48461570,1340000,3
4.411458441,Intrepid,6,4,Asia Pacific,1,The fewer the better.,Indonesia,0.0441,261115460,11519000,4
5.642255698,Intrepid,1,5,Middle East,1,The fewer the better.,Egypt,0.0564,95688680,5399000,5
5.948771882,Intrepid,3,6,Africa,1,The fewer the better.,Mozambique,0.0595,28829480,1715000,6
6.156151237,Intrepid,7,7,Middle East,1,The fewer the better.,Iran,0.0616,80277430,4942000,7
8.320072875,Intrepid,1,8,South America,1,The fewer the better.,Colombia,0.0832,48653420,4048000,8
10.224968165,Intrepid,8,9,Asia Pacific,1,The fewer the better.,Sri Lanka,0.1022,21203000,2168000,9
10.283426358,Intrepid,0,10,Asia Pacific,1,The fewer the better.,China,0.1028,1378665000,141774000,10
538.706615224,Intrepid,1,3,Europe,1,A lot!,Hungary,5.3871,9817960,52890000,3
500.635128910,Intrepid,0,4,Europe,1,A lot!,Denmark,5.0064,5731120,28692000,4
303.350972127,Intrepid,8,5,Europe,1,A lot!,France,3.0335,66896110,202930000,5
292.710500178,Intrepid,3,6,Europe,1,A lot!,Czech Republic,2.9271,10561630,30915000,6
292.548258692,Intrepid,8,7,Asia Pacific,1,A lot!,Singapore,2.9255,5607280,16404000,7
280.823498244,Intrepid,5,8,Europe,1,A lot!,Cyprus,2.8082,1170130,3286000,8
261.204793268,Intrepid,3,9,Europe,1,A lot!,Greece,2.612,10746740,28071000,9
248.818145567,Intrepid,5,10,Europe,1,A lot!,Spain,2.4882,46443960,115561000,10
